id,profileName,text,date,title,rating,images,helpful,Colour,Pattern Name
RERV6XJA7SQ52,Vishal,It's a great product and price is also affordable.,Reviewed in India ğŸ‡®ğŸ‡³ on 30 May 2023,It's cool,4,,0,pink,Smart Watch
R1LGJMMFF7A7PL,Shreyas Samajge,Good watch.Worth it.,Reviewed in India ğŸ‡®ğŸ‡³ on 30 May 2023,Price,4,,0,black,Smart Watch
R1ZYWPRLP7B6TV,Outstanding love it so much ,,Reviewed in India ğŸ‡®ğŸ‡³ on 31 May 2023,Great performance,4,"https://m.media-amazon.com/images/I/41ZBb8SIB1L.jpg
https://m.media-amazon.com/images/I/51WqXQxuD3L.jpg
https://m.media-amazon.com/images/I/71R-WEARF1L.jpg",0,black,Smart Watch
RCJAILXNCH70Z,Shibu,none,Reviewed in India ğŸ‡®ğŸ‡³ on 28 May 2023,none,4,,0,black,Smart Watch
R5EPG76N9KA2T,Dd tiwari,Good,Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,Good to wear it,4,,0,black,Smart Watch
R17EJQKWR9O6JP,Sunil Kumar,Overall good . But we change only 5 watchfaces in one time . When we need a new face so it done by using watch app & this thing is very annoying .,Reviewed in India ğŸ‡®ğŸ‡³ on 23 May 2023,Great touch response ğŸ‘,4,https://m.media-amazon.com/images/I/61VfSyLjzCL.jpg,5,black,Smart Watch
R2GYGGFN8YDO11,Sathyanand KR,Battery backup not get as you mentioned. Getting only three days.,Reviewed in India ğŸ‡®ğŸ‡³ on 24 May 2023,Battery back up,4,,1,black,Smart Watch
R3SZTHYLH52JKB,Excellent with dynamic dials,It is very nice product,Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023,Good dials,4,,2,blue,Smart Watch
R22P5RFMVBRFJS,PARTHA SARDAR,"After 1 month of usages i am totally satisfied, great deal with low price range.",Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,Really good watch,4,https://m.media-amazon.com/images/I/61FpJXl1PSL.jpg,2,Jade Green,Smart Watch
R3KJB1KMGJTNC2,Ridhika kumari kandoi,Good. Performs accuratly,Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,Good,4,,0,black,Smart Watch
R3VVRN8ZVI48JQ,Ekta,Nice,Reviewed in India ğŸ‡®ğŸ‡³ on 25 May 2023,Good,4,,0,black,Smart Watch
RGP8FLW8G6TCA,ğŸ˜‡Yug SharmağŸ˜‡,Steps counting is little less but works very good ğŸ˜Š.,Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,Nice watch,4,,1,blue,Smart Watch
R3I7FNP36MTS3F,Manish s.,Good product in this price.,Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,Good Product,4,,1,wine,Smart Watch
RYXWG4KSNBKJ5,Usman Ansari,Like,Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023,Very good,4,,1,Jade Green,Smart Watch
RI7X1GPL97OPP,Op yadav,Better than other products of the same range must buy justified rate,Reviewed in India ğŸ‡®ğŸ‡³ on 22 May 2023,Must try,4,,2,black,Smart Watch
R22PEDY215QB9A,Chukkamahesh,Good product,Reviewed in India ğŸ‡®ğŸ‡³ on 24 May 2023,Good product,4,,1,black,Smart Watch
R1I14LT1DOP273,harshvardhan,A good watch to buy with less price and good features..,Reviewed in India ğŸ‡®ğŸ‡³ on 23 May 2023,A GOOD WATCH TO BUY,4,,4,wine,Smart Watch
R2W0P3YB4NF1Q3,Malathi,Ok gud,Reviewed in India ğŸ‡®ğŸ‡³ on 17 May 2023,Super,4,"https://m.media-amazon.com/images/I/717VmsZe+1L.jpg
https://m.media-amazon.com/images/I/71RbKgXcO6L.jpg",0,black,Smart Watch
RXNEZXSPH5VLZ,Rijvi P.,Overall amazing product but it shows readings on smooth surfaces also and speaker is not that much of good quality otherwise it's good in other features.,Reviewed in India ğŸ‡®ğŸ‡³ on 15 May 2023,Overall Amazing bt shows readings on smooth surfaces also,4,,5,wine,Smart Watch
R3D8TWM01FBQZD,Amazon Customer,good,Reviewed in India ğŸ‡®ğŸ‡³ on 17 May 2023,very good product...,4,,0,black,Smart Watch
R26G546K6LNJE9,Amit Tarai,"durable, comfortable to wear, and light weight",Reviewed in India ğŸ‡®ğŸ‡³ on 12 May 2023,Worth it,4,,2,black,Smart Watch
R2BU5U24ZQY5PD,Ajay Singh,Good watch,Reviewed in India ğŸ‡®ğŸ‡³ on 20 May 2023,very Nice watch,4,,2,black,Smart Watch
R2Z7E3EKUWFF6S,NARAYANA MURTY ,But cultsport beats could be a better watch than this....,Reviewed in India ğŸ‡®ğŸ‡³ on 17 May 2023,Good product..,4,,2,wine,Smart Watch
R3MJVJ7SQAM4D1,Rajeev Kumar singh,It measures all levels almost accurate,Reviewed in India ğŸ‡®ğŸ‡³ on 12 May 2023,Nice watch this price range,4,,1,black,Smart Watch
R1ZPO6JJ4Y79ZO,manikandan,Display chin is little bit bigger,Reviewed in India ğŸ‡®ğŸ‡³ on 11 May 2023,Little bit laggy,4,,1,black,Smart Watch
RY007KZS0PV51,Sandeep Kumar,Nice product,Reviewed in India ğŸ‡®ğŸ‡³ on 9 May 2023,Good look,4,https://m.media-amazon.com/images/I/61+0V3mHwWL.jpg,0,blue,Smart Watch
R2TENCHYEZL2TV,Manoj Kumar,Very nice.,Reviewed in India ğŸ‡®ğŸ‡³ on 12 May 2023,All good ğŸ‘ product.,4,https://m.media-amazon.com/images/I/61RA5JRsWvL.jpg,1,black,Smart Watch
RESWS3R7S2YGW,Rakshita,,Reviewed in India ğŸ‡®ğŸ‡³ on 14 May 2023,It's amazing ğŸ˜,4,"https://m.media-amazon.com/images/I/51TaloOhYoL.jpg
https://m.media-amazon.com/images/I/51gclMfRzXL.jpg",0,pink,Smart Watch
R299XXZUTMEWZE,Tintu,,Reviewed in India ğŸ‡®ğŸ‡³ on 14 May 2023,Nice product,4,https://m.media-amazon.com/images/I/61jJ-18VgbL.jpg,0,black,Smart Watch
R30WWXGJH6PMJE,ABHIJIT PATRA,It is nice  product  ..but  sometimes  problem in  Bluetooth calling,Reviewed in India ğŸ‡®ğŸ‡³ on 12 May 2023,Nice  product,4,,1,blue,Smart Watch
R1QZE969GTCIW8,Gokulapriya,Nice,Reviewed in India ğŸ‡®ğŸ‡³ on 13 May 2023,Nice,4,,1,black,Smart Watch
R2G1ERKM9NMXGM,Yashika,The watch is working so well and gives almost accurate information. Battery life is good.,Reviewed in India ğŸ‡®ğŸ‡³ on 10 May 2023,Good product,4,,4,black,Smart Watch
R1ES1M3VTCFAG8,Deepak Garkoti,"Overall it is all good, but there is an issue of sound . Everytime I connect to call other person sound did not come.",Reviewed in India ğŸ‡®ğŸ‡³ on 13 May 2023,All good but have sound issue.,4,,5,blue,Smart Watch
RKF2AGAYTGVZ0,Paklu bhatra,,Reviewed in India ğŸ‡®ğŸ‡³ on 12 May 2023,Superb,4,"https://m.media-amazon.com/images/I/71pe4X7QFFL.jpg
https://m.media-amazon.com/images/I/71sVEzlSPLL.jpg",2,black,Smart Watch
R3CPIA7KJ8K3TK,Abhishek,"In 1 line, I like it...",Reviewed in India ğŸ‡®ğŸ‡³ on 17 May 2023,GoodÂ²,4,https://m.media-amazon.com/images/I/719jNqlw7sL.jpg,3,black,Smart Watch
R33QEGT5K4AXBE,Priya,It was the best product for me. All features are very helpful. It's battery  backup  was awesome  .does not expect that long battery  .I used this watch 10-12 days without charged it still it was working fine. It all features are working properly  . for me it was very helpful product . and it's great deal for anyone .product quality  was best.,Reviewed in India ğŸ‡®ğŸ‡³ on 20 April 2023,Noise fit band,4,https://m.media-amazon.com/images/I/814TcQvyZPL.jpg,18,black,Smart Watch
R3UZJUV00GCI7J,Ritika thakur ,I m satisfied with this watch. The touch of this watch is smooth . It is full paisa vasool ğŸ˜ŠğŸ˜Š,Reviewed in India ğŸ‡®ğŸ‡³ on 7 May 2023,It is good .,4,https://m.media-amazon.com/images/I/714vKk6qCtL.jpg,4,black,Smart Watch
R27UKFPILNU9SJ,Kamlesh,Very good product,Reviewed in India ğŸ‡®ğŸ‡³ on 8 May 2023,Very good,4,,1,black,Smart Watch
R2A0C4GS4MJH7P,Damege.plz return ,Â Not good watch boÃ dy,Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023,(please return) not good watch boÃ dy,4,,0,wine,Smart Watch
RYYP140XJ9C04,S Rakesh Kumar Das,"Till the usage of one month, I have the opinion that these trendy watch is worth to purchase. Try once.",Reviewed in India ğŸ‡®ğŸ‡³ on 4 May 2023,"Nice, convenient and up to the market need.",4,,5,Jade Green,Smart Watch
RDJB6HQZPOOOX,vishnumurthypamu,Quality super,Reviewed in India ğŸ‡®ğŸ‡³ on 8 May 2023,Good,4,,1,black,Smart Watch
R2HL4EJ8U0YQNU,Allu,Good product,Reviewed in India ğŸ‡®ğŸ‡³ on 6 May 2023,Nice,4,,0,black,Smart Watch
RAU1SP4NLH884,SURAJ YT,,Reviewed in India ğŸ‡®ğŸ‡³ on 9 May 2023,Nice,4,"https://m.media-amazon.com/images/I/715dDyanfBL.jpg
https://m.media-amazon.com/images/I/71tazb0cOKL.jpg",1,black,Smart Watch
R1US0XXXKC0UAL,Sagar patel,amezing ğŸ™Œ,Reviewed in India ğŸ‡®ğŸ‡³ on 7 May 2023,big display,4,https://m.media-amazon.com/images/I/6119jfg7mwL.jpg,2,black,Smart Watch
R3VVTUUULAE300,S. Sampath Kumar Reddy,Yahh! Its nice,Reviewed in India ğŸ‡®ğŸ‡³ on 3 May 2023,Abhi,4,,0,black,Smart Watch
RDGKH7GND8U7B,Amazon Customer,Watch look good,Reviewed in India ğŸ‡®ğŸ‡³ on 28 April 2023,Product os good,4,,0,blue,Smart Watch
R2VCN1AXHT1CF0,Ankit kumar,Awesome ğŸ˜,Reviewed in India ğŸ‡®ğŸ‡³ on 28 April 2023,Good ğŸ‘,4,,0,black,Smart Watch
R2GL5YNVCRKESU,abhishek s.,Good,Reviewed in India ğŸ‡®ğŸ‡³ on 28 April 2023,Nice,4,,0,black,Smart Watch
R3G6D5ORMA0TVY,Ryan chhabra,The most important thing you should know the colour in photo and in reality are different .It is painted and does not look like the display photo.Except that the functions are good given the price point the display is average not very goodThe good thing is that we can use its calling feature really helpfull,Reviewed in India ğŸ‡®ğŸ‡³ on 15 April 2023,Watchâ€™s opinion,4,,8,Jade Green,Smart Watch
R1W0VRWVUADQ2V,Dr Shridhar ,Satisfactory performance,Reviewed in India ğŸ‡®ğŸ‡³ on 27 April 2023,Satisfied,4,,0,black,Smart Watch
