"id","profileName","text","date","title","rating","images","helpful","Colour"
"RFSV9MQSF2DBU","Athar","It was very tough decision to select between the 3 famous neckbands.1. OnePlus Bullets Wireless Z22. Realme Wireless Buds 2 / Neo3. Oppo Enco M32.I did extensive research.OnePlus Bullets Wireless Z2 (REJECTION POINTS):1. No Dual Device Fast Switching.2. Multifunctional button (Center button) is not easy to spot. We are customers, we need convenience. OnePlus should have raised the middle button so our finger can easily find it.3. No left or right marking.4. No rubber cover over charging port.Realme Wireless Buds 2 / Neo (REJECTION POINTS):1. There is no feature of switching to previous song directly with buttons (I don't want to install an app to do this basic function).2. ANC and LDAC is marketing gimmick. Some neckbands don't say ANC but still cut out the noise.Oppo Enco M32 (SELECTION POINTS):1. Neckband shape is good collar type. Like you know which side is right and left.2. The multifunctional button (Center button) can be easily spot on by your finger as it is raised.3. Initially I thought that the U shaped ear flaps would cause pain but NO they WON'T. You can remove the flaps if you don't feel comfortable.4. Dual Device Fast Switching works flawlessly from my laptop to phone and vice versa. You can switch even when you are wearing it. Need some practice. I wish if Oppo had given a dedicated button however believe me still it is very easy to switch by holding Vol+ and Vol - button for 2 seconds while you are wearing it.5. Did call test to check noise cancellation by standing beside a building being destroyed by drills and hammers. My mom and wife confirmed that this Oppo Enco M32 was cancelling noise better than OnePlus Bullets Wireless Z2. I did not tested Realme neckband.6. Rubber cover to cover charging port.Charging time: Both OnePlus Wireless Z2 and Oppo Enco M32 are getting charged 80% in 10 min. I used charger of my Redmi Note 9 Pro Max which is 33 watts 5v 3amp. At 10% charge left, I plugged the charger and in 10 min I unplugged the charger and it is 90% (Actually 80%). I follow battery golden rule: Never drain the battery completely nor charge it to full.","Reviewed in India ğŸ‡®ğŸ‡³ on 3 January 2023","Needs improvement",4,"","757","Black"
"RV1BY9CZHHOD6","Vishal","There is nothing wrong with the looks of the Bullets Z2, they are actually quite decent looking. They are just a neckband, and this is what neckbands look like, and we have made our peace with it. The middle part is a thicker, slightly more stiff, U shaped-silicon band, with two chunky pill-shaped units at the end. The wires stem from these pills and have earbuds on the end. One of these pill-shaped units houses the battery, while the other has control options and the USB Type C port on the side. You get volume buttons on this control unit and a multi-function play/pause button. The battery unit has the OnePlus branding and the logo, while the volume buttons are highlighted in red.The earbuds on the end are pretty standard, with eartips on one side and a flat back with magnets. When the buds are attached together, they will simply stop playing the audio, which you can resume once you put them back in. The Bullets Wireless Z2 are quite light and can be worn around the neck all day without ever feeling like a burden. The material used is quite skin-friendly and feels quite sturdy as well. It also comes with an IP55 rating.Pairing the OnePlus Bullets Wireless Z2 is a pretty fuss-free process. All you have to do is press and hold the play/pause button, and the buds will go into pairing mode. You can then look up the buds in the list of Bluetooth pairings on your device and connect the buds. Once connected, the Bullets Z2 will connect to your phone automatically once you put them on.You get the usual volume buttons on the buds and another button in the middle in terms of controls. Now instead of simply sharing the command load amongst its button comrades, OnePlus has put all the burden on this one button in the middle. Apart from the usual pairing/play/ pause/ call receiving/ call ending functions (which are already a lot for a single button), OnePlus has also made it responsible for changing tracks. You have to press the button twice to skip to the next song and thrice to go back to the last song. It may all sound simple but can actually be chaotic in practice as you have to keep track of how many times you have pressed that tiny button before the command is completed.The OnePlus Bullets Wireless Z2 comes with the biggest drivers seen on a pair of OnePlus earphones- 12.4mm. The fact that OnePlus is offering such big drivers for under two thousand rupees is a major plus point for the buds. The earbuds support two audio codecs, SBC and AAC.As for the audio performance, the Bullets Wireless Z2 are pretty loud and come with plenty of bass, something that seems to be every brandâ€™s audio formula in the budget segment. While this kind of signature sound gives the audio some faux body, it actually fails to deliver what the audio is truly supposed to sound like.If you are someone looking for a pair of earphones that offer balanced sound, then you might not like the sound profile that the Bullets Wireless Z2 offer as they lack balance, majorly.That said, if you are someone who likes bass-heavy audio output and do not mind if some bass sneaks into your mids, then the OnePlus Bullets Wireless Z2 will definitely be your cup of tea.The OnePlus Bullets Wireless Z2 were pretty good in terms of call quality. We could hear the speaker clearly, and we heard no complaints whatsoever regarding our audio quality while using the buds. As the buds fit deep into your ear canals, they offer really good passive noise cancellation.They come with big 12.4 mm drivers, offer really long battery life, have a bass-heavy signature sound, and have a really solid build. But because the earbuds are really bass-heavy, they lack balance, and for those who like to listen to melodious or classical music, these might not be a great option.The Bullets Wireless Z2 also face some heat from the likes of Oppo Enco M32 and the Realme Buds 2, which are priced in the same vicinity. The OnePlus Bullets Wireless Z2 are actually a great proposition for the price; you only need to have a liking for bass.","Reviewed in India ğŸ‡®ğŸ‡³ on 5 March 2023","READ IT AND THEN BUY",4,"","162","Black"
"R2ZYJ5RRCMHMTH","K.K.","Hello Everyone,I am writing this review for OnePlus Z2 bullets after a month of usage.BACKGROUND - I already had a Z-bullet purchased in May 2020. It worked superb till date until somebody used it and liked it so much that the person asked me to gift it , so it had to order a new one.OnePlus wireless neckband are no doubt one of the best in the market. Even in the price segment they are able to deliver a above par product.PROS -1) The RANGE has got better2) LATENCYhas reduced. Still if you play games , you may notice some lag. Though the lag for movies had reduced a lot.3)The neckband WEIGHT has got a bit lighter.4) (not 100% sure) The IP RATINGS have goten better (Z2 is IP57)5) The BATTERY has improved. What they have marketed is true. (10min charge --> greater than 15 hrs of playback)6) Its Bluetooth 5.X7) I am not sure if it my lack of understanding or something else. The Z control in sense of next/ prv song in the playlist was not working .This has been taken care of in Z2.CONS :( -1) The Neckband is NOT FLEXIBLE as was in Z version. But it is still better than realme Buds2) The DUAL CONNECTION BUTTON is missing (A BIG LOSS). Still they have tried to provide  a 'fast pair switching' (press the power buttn for 3 sec to disconnect the bluetooth connection and start afresh. I still need to have my phone/PC/tablet to make that connetion)Z had 4 buttons. Z2 has only 3.3) The weight is lighter as the cost of material. The ENCASING is of inferior material.CONCLUSION -  Z2 is better than Z. ONLY ONE COMPLAIN TO ONEPLUS : PLEASE PROVIDE THAT DUAL SWITCHING BUTTON...PLEASE!","Reviewed in India ğŸ‡®ğŸ‡³ on 11 May 2023","Compred to Z-bullets (Z1) this has some pro and some cons",4,"","11","Black"
"R1L20BB14Y0Z7B","satishreddy","I like the product i am still useing this product from last 2 years and this is my second earphones, i recommend use this product if heavy. Users long battery in this product 10 mint charge can be use 8 hours full charge will be like nearly 1 week maximum 3 days, it can be in the hands of user","Reviewed in India ğŸ‡®ğŸ‡³ on 25 May 2023","Super cool",4,"https://m.media-amazon.com/images/I/81Vkm2KH8EL.jpg",1,"Black"
"R9IP2BCF3U54N","Lingraj Bhadrapur","I have used all the 3 versions of one plus Bluetooth. After Bass red edition(second version) the bass edition stopped working after 18 months. I read a review, someone described about one plus, oppo enco M31 and Boat. I brought Oppo enco M31 in January 23 used it till March23 and lost it in train during transit, So had to buy one more....being a ardent fan of one plus I thought of giving a try for latest version with12.4 drivers....Conclusion: if  u r a bass lover then go for Oppo enco M31.","Reviewed in India ğŸ‡®ğŸ‡³ on 5 May 2023","Earlier version of one plus was better.",4,"","3","Black"
"R2XCQGS1V8J9AY","Prem","Quality build and durable. Audio quality is good with excellent bass. Using it for the past 6 months and the battery life is great.Only con in my experience with this neckband is there is a crackling sound on the right side earpiece sometimes when you pause and replay a video.I tried the following methods to rectify this issue:- turning off and turning on the neck band again- unpairing and pairing bluetooth connection  between neckband and my mobile- turning off and turning on the Bluetooth on  my mobile.Sometimes doing one of the above method seems to rectify the issue of crackling noise but most of the time the problem still persists.The only solution that works for me every time is disabling the AAC audio codec mode to SBC audio codec mode in the neckband's Bluetooth settings. Atleast it works for me every time and it's either a bug in the neckband software or a design flaw.But to be fair OnePlus neckband Bluetooth settings in my device does warm me every time when I enable the AAC audio playback that it might not work properly as intended.So in short if you have crackling noise issues in neckband earpiece just disable AAC audio codec.It just might work for you.","Reviewed in India ğŸ‡®ğŸ‡³ on 25 April 2023","Great product with a caveat",4,"","8","Black"
"R3KLJI4TPZKTL3","Amazon Customer","coz i have been searching the eartip for over 6 months but no go..and other tips doesnâ€™t fit well since this is oval shaped . The company doesnâ€™t seem to sell the oval eartipsâ€¦ believe me these small things matter a lot.","Reviewed in India ğŸ‡®ğŸ‡³ on 24 May 2023","If you are like me loosing your eartips often, dont buy this..",4,"",1,"Black"
"R22AC106O7UMCJ","gulabgiri","Battery backup best quality is good  but sound  bess not damdar  earbuds me jo sound ho ta he vo nhi","Reviewed in India ğŸ‡®ğŸ‡³ on 31 May 2023","Best quality",4,"",0,"Black"
"RH708IGLZYF97","vasudev","value for money","Reviewed in India ğŸ‡®ğŸ‡³ on 30 May 2023","long lasting, durable",4,"",1,"Black"
"RDDUZWMAVM8CC","DINESH KUMAR V.V","Actually i am not satisfied with latest model , i think older model is far better and very comfortable itseems","Reviewed in India ğŸ‡®ğŸ‡³ on 24 May 2023","older model better than this lates model",4,"",0,"Black"
"R1KDGYNRGM373A","MALLIKARJUN  BALIGIDAD","Super sound","Reviewed in India ğŸ‡®ğŸ‡³ on 28 May 2023","Oneplus",4,"",0,"Black"
"R2AHL7NQ1IONA3","Saradhi.p","Awesome battery backup. Good call quality when compared to other products. Go for it without any second thought","Reviewed in India ğŸ‡®ğŸ‡³ on 25 May 2023","Best quality",4,"",0,"Black"
"RWYI1RZRIII7F","Siddharth ","Good ğŸ‘","Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023","Siddharth",4,"",0,"Black"
"RU11MR9R2O0BB","sampath","Nice","Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023","Nice",4,"",0,"Black"
"R2D6MCAAIJ15SJ","Jorjia","Best","Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023","High Quality",4,"",0,"Black"
"R2RSLVJK2RKMPL","CHIRANJEEV KUMAR","Exceptional sound quality, comfortable fit, and user-friendly controls.connectivity is also stable, it is a reliable and enjoyable wireless audio option.According to me the price is little costly.","Reviewed in India ğŸ‡®ğŸ‡³ on 18 May 2023","User friendly earphone",4,"",0,"Black"
"ROKF9RGOCTS98","Farheen z.","Sir mujhe aj parcel receive hua lekin bill nhi aya hai iske sath.. warranty card nhi aya hai.. plz send me as soon as possible.","Reviewed in India ğŸ‡®ğŸ‡³ on 16 May 2023","Nice product",4,"",0,"Black"
"R30J042DEZ1UYE","Ayishu","Ear buds are a bit large for me. Doesn't fit properly. Other than this, super affordable, easy to use and good sound quality","Reviewed in India ğŸ‡®ğŸ‡³ on 18 May 2023","Great sound quality, easy to handle",4,"",0,"Black"
"R1ZVY3F1J7U11W","Shivam",,"Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023","Ok",4,"https://m.media-amazon.com/images/I/51Ec+7aMT6L.jpg",0,"Black"
"R3KRF9DB0DPVFJ","Rahul Jayswal","Overall good","Reviewed in India ğŸ‡®ğŸ‡³ on 27 May 2023","Velue for money",4,"",0,"Black"
"R3J40QFXHPN1UH","K.S.Ramanujam","Good battery life and good sound quality and durability is also good","Reviewed in India ğŸ‡®ğŸ‡³ on 15 May 2023","Good",4,"",0,"Black"
"R38EZT7Z76Z551","Shri narayan meena","Very good sound. I like it","Reviewed in India ğŸ‡®ğŸ‡³ on 23 May 2023","OnePlus",4,"https://m.media-amazon.com/images/I/71hcyFgoWkL.jpg",0,"Black"
"R3GAAE7I2ENZ30","Vicky netam","Travel is good but bass normal..","Reviewed in India ğŸ‡®ğŸ‡³ on 21 May 2023","Bass so lite .",4,"",0,"Black"
"R2JOV3PKYJ85N7","Parveen","Good","Reviewed in India ğŸ‡®ğŸ‡³ on 26 May 2023","Quality is good",4,"",0,"Black"
"R1JTFNWO3ZWC4D","Suraj","I like this","Reviewed in India ğŸ‡®ğŸ‡³ on 24 May 2023","Ok ok",4,"",0,"Black"
"R1EI75CW0SVB3Y","R George","Â I have been using z2 neckband since it was first released. My first one is still working without fault and I again bought a new one because of its awesome experience.By the way, I bought a new one for a family member of mine. One thing to note, it is not suited a heavily sweating person during exercise.I have uploaded the first gen and 2nd gen z2 headphone, if you look carefully you can see the difference. Also I own a boat rockerz 255 pro+. As I am constantly using both models simultaneously I can definitely give the thumps up to Op. Another fact,I had my boat replaced after 5 months of usage because it stopped working.I anyone ask  me directly,I would definitely give them reasons on why I prefer op as to others.tq","Reviewed in India ğŸ‡®ğŸ‡³ on 1 April 2023","My second 1 that 1 bought",4,"https://m.media-amazon.com/images/I/71+URJRfOUL.jpg
https://m.media-amazon.com/images/I/71dth4Z-dsL.jpg","9","Black"
"RF29XV2KH4WFH","Umesh Gaikwad","Once again one plus... Superb","Reviewed in India ğŸ‡®ğŸ‡³ on 20 May 2023","Excellent",4,"",0,"Black"
"R3CE3KR4AFVLPJ","BALAKRISHNAN","Good performance by one plus head set","Reviewed in India ğŸ‡®ğŸ‡³ on 22 May 2023","Good item",4,"",0,"Black"
"RP8IDALJZY30F","Vikash Kumar","Sound is good build quality is good bass is good almost product is velue for money in 2000 not upside","Reviewed in India ğŸ‡®ğŸ‡³ on 19 May 2023","Its Good Nackband in the Segment",4,"",0,"Black"
"R379M3H03JWLCB","len","excellent","Reviewed in India ğŸ‡®ğŸ‡³ on 18 May 2023","sound quality",4,"",0,"Black"
"R28SDJAVMIWYIB","M Narsimha","OnePlus Bullets Z2 is Super Sound And Fast Charging Is Extremely nice ğŸ‘","Reviewed in India ğŸ‡®ğŸ‡³ on 20 May 2023","OnePlus Bullets Z2",4,"https://m.media-amazon.com/images/I/61CSSEVP6gL.jpg
https://m.media-amazon.com/images/I/61buz7ZS7RL.jpg
https://m.media-amazon.com/images/I/61oebdbw3uL.jpg",0,"Black"
"R4JLOUTRHSXTE","roshani","Amazing","Reviewed in India ğŸ‡®ğŸ‡³ on 21 May 2023","Nice",4,"",0,"Black"
"RAGKKH1O6HAVQ","Pramod kumar","Good sound high bass treble .. Don't use during the walking on road then  you will not able to hear out side noice ğŸ™€","Reviewed in India ğŸ‡®ğŸ‡³ on 13 May 2023","Experience different sound quality",4,"",1,"Black"
